ID_Produto,Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
4395,TENIS ASICS,Sapato Feminino,TENIS,2014-06-05,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,137.95,279.9
4396,TENIS As,Sapato Masculino,TENIS,2011-03-15,,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.95,99.91
4397,TENIS BELLA,Sapato Masculino,SAPATO,2011-08-11,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,90.43,179.9
4398,TENIS BULLTERRIER,Sapato Masculino,SAPATO,2012-05-11,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.9,199.9
4399,TENIS CASUAL,Sapato Feminino,TENIS,2013-03-12,,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.9,69.9
4400,TENIS CASUAL,Sapato Masculino,TENIS,2012-03-30,,44,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,55.3625,109.9
4401,TENIS CASUAL BUFALINO,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71.4,139.9
4402,TENIS CASUAL CANO LONGO,Sapato Feminino,TENIS,2013-03-12,,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,32.4,79.9
4403,TENIS CASUAL LONA,Sapato Feminino,TENIS,2013-03-12,,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.9,69.9
4404,TENIS CLASSIC,Sapato Masculino,TENIS,2012-08-10,,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,80.15,159.9
4405,TENIS CONCRETE,Sapato Masculino,TENIS,2013-03-28,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,74.9,139.9
4406,TENIS CRAVO E CANELA,Sapato Feminino,TENIS,2011-07-29,,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.71,119.9
4407,TENIS CROMIC,Sapato Feminino,TENIS,2011-03-31,,47,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.95,59.9
4408,TENIS CROMIC,Sapato Masculino,TENIS,2011-03-31,,72,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.61666666666667,83.24
4409,TENIS CT AS,Sapato Masculino,TENIS,2012-12-10,,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.925,99.9
4410,TENIS CT AS CLASSIC,Sapato Masculino,TENIS,2012-12-10,,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,56.95,119.9
4411,TENIS CT AS CORE HI,Sapato Feminino,TENIS,2014-03-14,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.95,99.9
4412,TENIS CT AS CORE OX,Sapato Feminino,TENIS,2014-03-14,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.45,89.9
4413,TENIS CT AS EXTREME,Sapato Masculino,TENIS,2012-12-10,,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,74.95,149.9
4414,TENIS CT AS PRINT,Sapato Masculino,TENIS,2012-12-10,,42,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,55.9375,114.9
4415,TENIS CT AS SLOUCHY,Sapato Masculino,TENIS,2012-12-10,,31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,65.26666666666667,139.9
4416,TENIS CT AS SPECIAL,Sapato Masculino,TENIS,2012-12-10,,25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,55.6,113.23333333333336
4417,TENIS DAKOTA,Sapato Feminino,TENIS,2014-09-25,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,61.84,126.56666666666668
4418,TENIS DAKOTA TURCO,Sapato Feminino,TENIS,2014-05-29,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.21,139.9
4419,TENIS DANTY OX,Tenis Adulto,TENIS,2013-03-08,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
4420,TENIS DIJEAN,Sapato Feminino,TENIS,2011-04-13,,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.7,49.91
4421,TENIS DNX,Sapato Masculino,TENIS,2011-04-27,,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.95,79.9
4422,TENIS DNX B,Sapato Masculino,TENIS,2011-04-27,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.95,79.9
4423,TENIS DNX ROSA,Sapato Feminino,TENIS,2011-04-27,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.95,79.9
4424,TENIS DOMINATOR,Sapato Masculino,TENIS,2011-05-26,,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.1,83.23333333333333
4425,TENIS DUAL STAR RUNNING,Sapato Feminino,TENIS,2014-05-28,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.95,179.9
4426,TENIS ESSENCI,Sapato Feminino,TENIS,2012-04-10,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,94.72,199.9
4427,TENIS ETHINIC,Tenis Adulto,TENIS,2013-04-30,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.95,119.9
4428,TENIS EVERLAST SCAPE II,Sapato Masculino,TENIS,2015-03-27,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,86.32,169.9
4429,TENIS EVERLAST SOHO,Sapato Masculino,TENIS,2015-03-27,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,86.32,169.9
4430,TENIS EVERLAST TIME HI,Sapato Masculino,TENIS,2015-03-27,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,109.05,219.9
4431,TENIS FEM,Sapato Feminino,TENIS,2015-03-14,,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,97.375,194.9
4432,TENIS FEM ASICS,Sapato Feminino,TENIS,2014-06-05,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,159.97,299.9
4433,TENIS FEM.,Sapato Feminino,TENIS,2016-02-12,,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,115.15,249.9
4434,TENIS FEMININO,Sapato Feminino,TENIS,2017-08-04,,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,88.02666666666666,179.9
4435,TENIS FEMININO,Sapato Infantil,TENIS,2017-08-04,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,83.13,169.9
4436,TENIS FEMININO,Tenis Adulto,TENIS,2019-10-17,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,102.6,199.9
4437,TENIS FILA,Sapato Feminino,TENIS,2011-03-17,,112,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81.10777777777778,163.24333333333334
4438,TENIS FILA,Sapato Masculino,TENIS,2011-05-23,,164,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,87.98142857142857,176.34071428571428
4439,TENIS FILA,Tenis Adulto,TENIS,2017-08-18,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,107.61,219.9
4440,TENIS FLEX,Sapato Masculino,TENIS,2011-10-07,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,75.77,149.9
4441,TENIS FLINT,Sapato Masculino,TENIS,2013-03-28,,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.69500000000001,119.9
4442,TENIS FSC MAX R2,Sapato Masculino,TENIS,2012-12-08,,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,55.60999999999999,109.90000000000002
4443,TENIS FUTURE,Tenis Adulto,TENIS,2017-06-20,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.95,199.9
4444,TENIS GEL EXCITE,Sapato Feminino,TENIS,2015-04-28,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,132.25,269.9
4445,TENIS HUNTER,Sapato Masculino,TENIS,2011-08-25,,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,86.99333333333334,173.26333333333332
4446,TENIS IATE,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,53.4,119.9
4447,TENIS IATE ANIMAL,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,53.4,119.9
4448,TENIS IATE GARDEN,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,57.9,119.9
4449,TENIS IATE SANDED,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66.8,129.9
4450,TENIS IATE VIP,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,57.9,119.9
4451,TENIS INFANTIL,Sapato Masculino,TENIS,2013-05-07,,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.49,59.9
4452,TENIS KELSEN,Sapato Feminino,TENIS,2011-04-13,,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.45,39.91
4453,TENIS KOLOSH,Sapato Feminino,SAPATENIS,2016-03-15,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,67.45,139.9
4454,TENIS KOLOSH,Sapato Feminino,TENIS,2013-11-13,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.245000000000005,119.9
4455,TENIS KOLOSH AKITA,Sapato Feminino,TENIS,2016-02-12,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.66,129.9
4456,TENIS KOLOSH CANDY FLAT,Tenis Adulto,TENIS,2014-04-04,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.25,99.9
4457,TENIS KOLOSH FLY,Sapato Feminino,TENIS,2013-10-10,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.72,89.9
4458,TENIS KOLOSH FLY III,Tenis Adulto,TENIS,2016-02-12,,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,51.23,106.56666666666668
4459,TENIS KOLOSH GRILLE,Sapato Feminino,TENIS,2016-03-15,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58.32,129.9
4460,TENIS KOLOSH LIVORNO,Sapato Feminino,TENIS,2013-10-10,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58.84,119.9
4461,TENIS KOLOSH SWEET,Sapato Feminino,TENIS,2013-10-10,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.59,89.9
4462,TENIS KOLOSH VEIL,Sapato Feminino,TENIS,2016-03-15,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,61.74,129.9
4463,TENIS KRUNNER SUED,Sapato Masculino,TENIS,2013-03-22,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,80.3,159.9
4464,TENIS LINDI,Sapato Feminino,TENIS,2011-07-22,,81,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.59166666666667,93.24166666666667
4465,TENIS LOS ANGELES,Sapato Feminino,TENIS,2012-10-19,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
4466,TENIS MACBOOT,Sapato Feminino,TENIS,2011-03-18,,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.95,159.91
4467,TENIS MACBOOT,Sapato Masculino,TENIS,2011-03-18,,28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,76.61666666666667,153.24333333333334
