ID_Unico;Referencia;Custo Venda    ;Vr.Venda       ;Reposicao      ;Pr.Venda       
B57520005_100_0;B57520005;199,9;279,9;199,9;399,9
CONJUNTO2_100_1;CONJUNTO2;150;279,8;50;99,9
CJ4_100_0;CJ4;192;279,87;42,88;99,9
70203702_100_0;70203702;183;279,9;57,34;119,9
CAMISETAS_100_0;CAMISETAS;147,6;279,6;36,9;69,9
B59750005_100_0;B59750005;139,8;279,8;69,9;139,9
50258_100_0;50258;252,04;279,84;63,01;129,9
190320126_100_0;190320126;66,9;279,8;35,9;139,9
70215602_100_0;70215602;134;279,8;62,98;139,9
90203742_100_0;90203742;134;279,8;62,98;139,9
K32857_100_0;K32857;139,8;279,8;65,71;139,9
13172_100_0;13172;213;279,8;65,32;139,9
45599_100_0;45599;140,76;279,54;35,19;69,9
K32832_100_0;K32832;145,8;279,8;68,53;139,9
BRY799_100_0;BRY799;240;279,8;40;79,9
5068_100_0;5068;260;279,75;52;99,9
127431_100_0;127431;135,6;279,6;30,51;69,9
15236_100_0;15236;139,8;279,8;62,91;139,9
TRICOT4_100_0;TRICOT4;150;279,6;30;59,9
331222_100_0;331222;153,8;279,8;69,21;139,9
202150_100_0;202150;150;279,59;30;59,9
12490_100_0;12490;133,8;279,8;66,9;139,9
E13720_100_0;E13720;135,12;279,6;33,78;69,9
291288_100_0;291288;187,6;279,8;46,9;89,9
2549_100_0;2549;199,5;279,78;35,91;79,9
A4185_100_0;A4185;284,5;279,74;51,14;119,9
3159_100_0;3159;234;279,77;39;79,9
BF42_100_0;BF42;168;279,67;42;79,9
BL4000_100_0;BL4000;160;279,6;40;79,9
BP29_100_0;BP29;145;279,56;29;59,9
BD20_100_0;BD20;140;279,3;20;39,9
60454_100_0;60454;219,15;279,79;43,83;89,9
100192209_100_0;100192209;212;279,86;48,76;99,9
032450891_100_0;32450891;127,54;277,3;19,56;39,9
