ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
CJ14,CASACO                        ,12,Confeccao                     ,75,CASACO                        ,100,UNICA                         ,20/04/2021,14,01/07/2021,0,0.0,0.0,11,5390.0,9261.0,"71,82",8419.0,4377.0,999.0,CJ14_100_0
60211701,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,03/09/2021,7,08/02/2022,0,0.0,0.0,7,4480.0,92521.0,"106,52",13217.0,6016.0,1399.0,60211701_100_0
611700,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,29/11/2022,5,28/06/2023,0,0.0,0.0,5,24975.0,91952.0,"268,18",1839.0,4995.0,1999.0,611700_100_0
BL38,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,07/03/2023,14,09/06/2023,0,0.0,0.0,13,4940.0,9191.0,"86,05",707.0,380.0,799.0,BL38_100_0
79308,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,10/10/2023,15,29/02/2024,0,0.0,0.0,16,44064.0,9167.0,"108,04",5729.0,2956.0,599.0,79308_100_0
3225089,MEIA                          ,12,Confeccao                     ,66,MEIA                          ,100,UNICA                         ,08/10/2022,48,29/12/2023,0,0.0,0.0,23,41446.0,91246.0,"120,16",3967.0,1802.0,399.0,03225089_100_0
80290044,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,12/03/2021,8,28/06/2021,0,0.0,0.0,8,2596.0,91287.0,"251,64",1141.0,3245.0,1299.0,80290044_100_0
10445,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,31/07/2021,6,29/06/2022,0,0.0,0.0,8,54336.0,91286.0,68,1141.0,6792.0,1299.0,10445_100_0
30340,SHORT                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,07/03/2024,6,28/03/2025,1,999.0,1699.0,7,6993.0,9096.0,"30,07",12994.0,8986.0,1699.0,30340_100_0
BE41275,BERMUDA                       ,12,Confeccao                     ,19,BERMUDA                       ,100,UNICA                         ,10/08/2020,5,09/10/2020,0,0.0,0.0,4,5196.0,9097.0,"75,08",22742.0,12341.0,2299.0,BE41275_100_0
120661,CAMISETA                      ,12,Confeccao                     ,35,CAMISETA                      ,100,UNICA                         ,09/08/2024,14,31/12/2024,1,3417.0,699.0,13,44421.0,9043.0,"103,57",6956.0,3667.0,699.0,120661_100_0
1VE17913,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,29/08/2023,4,22/10/2024,0,0.0,0.0,4,7160.0,90354.0,"26,19",22588.0,17005.0,3199.0,1VE17913_100_0
CL41654,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/08/2021,4,02/02/2022,0,0.0,0.0,4,5996.0,90368.0,"50,71",22592.0,14241.0,2599.0,CL41654_100_0
V865,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,07/03/2023,8,16/05/2023,0,0.0,0.0,7,4550.0,9028.0,"98,42",12897.0,650.0,1299.0,V865_100_0
72831,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,07/12/2020,7,06/07/2021,0,0.0,0.0,7,43554.0,9028.0,"107,28",12897.0,6222.0,1299.0,72831_100_1
VT259,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,17/04/2023,3,25/08/2023,0,0.0,0.0,3,7797.0,9000.0,"15,43",3000.0,2340.0,4999.0,VT259_100_0
90192003,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,13/03/2020,6,23/02/2021,0,0.0,0.0,7,4340.0,90068.0,"107,53",12866.0,5704.0,1299.0,90192003_100_0
VL229,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,06/12/2021,1,25/01/2022,0,0.0,0.0,3,6897.0,8998.0,"30,46",29993.0,2299.0,3999.0,VL229_100_0
65919,JAQUETA                       ,12,Confeccao                     ,76,JAQUETA                       ,100,UNICA                         ,01/06/2020,6,11/06/2021,0,0.0,0.0,6,43272.0,89936.0,"107,84",14989.0,705.0,1499.0,65919_100_0
362003,CONJUNTO                      ,12,Confeccao                     ,15,CONJUNTO                      ,100,UNICA                         ,08/03/2024,3,07/08/2024,0,0.0,0.0,3,5997.0,8997.0,"50,03",2999.0,17991.0,3499.0,362003_100_0
111326,CAMISA                        ,12,Confeccao                     ,34,CAMISA                        ,100,UNICA                         ,10/10/2023,7,15/10/2024,0,0.0,0.0,6,43554.0,8994.0,"106,5",1499.0,8498.0,1499.0,111326_100_0
12251007,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,28/03/2022,5,18/08/2022,0,0.0,0.0,6,4260.0,8994.0,"111,13",1499.0,710.0,1499.0,12251007_100_0
K37812,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,07/05/2021,5,23/05/2022,0,0.0,0.0,5,4475.0,8995.0,"101,01",1799.0,8503.0,1799.0,K37812_100_0
CL41600,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,17/05/2021,4,31/01/2022,0,0.0,0.0,4,6916.0,89973.0,"30,09",22493.0,16426.0,2999.0,CL41600_100_0
